Sr. No.,Tweet Text,Gender
1,"Does seem like a tell that whenever Youngkin gets asked if he'd like to campaign with Trump he changes the subject. (It's not the biggest question in the race, but if he was running in Ohio the answer would be """"OH MAN YES YES YES."""")",M
2,"@LisaDTRice Everyone is entitled to voice their opinion; my opinion is I expect better than casually questioning the legitimacy of past elections, particularly from someone who values democracy and knows how badly Donald Trump's """"stop the steal"""" crusade threatens it.",F
3,I’m so encouraged that the @POTUS and @VP have issued the first-ever national strategy on gender equity and equality. It’s about making sure that every single person can reach their full potential—in our country and around the world. It’s what real leadership looks like.,F
4,Democrats fear for their reelections because of the never-ending series of crises their policies are inflicting on families. The answer isn’t an election law takeover to rig the game. My statement on Democrats’ latest iteration of the same takeover the Senate's already rejected:,M
5,It's SHOCKING to think that the Patriot Act is being used to target parents for expressing concern about curriculum at their local schools. The Justice Dept should rip up that memorandum &amp; take 3 steps back from even suggesting they would use it to investigate concerned parents.,M
6,Squid Game as a wildly popular cultural product is a much stronger commentary on capitalism than the narrative contained by Squid Game.,M
7,"So much is at stake in Virginia, including the constitutional right to access abortion. As governor, @TerryMcAuliffe will fight to defend that right.",M
8,Isn't this where Twitter says she's lying &amp; making the QAnon gesture?,M
9,Gov. Greg Abbott appoints former Trump attorney who made false claims about 2020 election as new secretary of state of Texas.,M
10,"It is remarkable how these giant companies (eg @jodikantor's Amazon reporting yesterday, and this on Facebook) are replicating the worst features of government bureaucracy, minus any kind of accountability",M
11,Great to be with some of the brave men and women of California Law Enforcement! #BackTheBlue,M
12,"@FunWithTeeth Hey there, this is awful and unacceptable. Can you contact my Congressional office? You can even call and leave a voicemail tonight so we can get back you ASAP tomorrow",F
13,It’s not right that working families pay higher tax rates than the wealthiest and large corporations. We’ll fight to ensure that the wealthiest and corporations pay their fair share—and build an economy that works for everyone. That’s what the Build Back Better Agenda is about.,F
14,"broken. from the bottom of my heart, i am so so sorry. i don't have words.",F
15,It was great to be back in New Jersey! There's too much at stake in this election to sit it out. Let's keep New Jersey moving forward by re-electing @PhilMurphyNJ and Democrats up and down the ballot. Make a plan to vote early—and get everyone you know to do the same.,M
16,Reopening the consulate in Jerusalem would be a slap in the face to Israel and the progress made so far. It's now clear that Joe Biden is picking up Obama's mantle of intentionally acting against our ally Israel.,M
17,"@SyncPol @WSJopinion Will anyone even notice more ranting by Trump? He’s a massive danger to the Republic, and that’s been obvious for years.",F
