Datetime,Tweet Id,Text
2021-10-27 21:53:05+00:00,1453479892256010242,"@JoeBiden https://t.co/ZXaprDqfzt
The gutless are getting gutted"
2021-10-27 13:49:49+00:00,1453358275085352966,Opinion | The Confusing Mr. Biden - The Wall Street Journal https://t.co/gMNYBA3ArT
2021-10-27 00:05:15+00:00,1453150764898177028,"Manchin shows Biden who’s boss. 

IRS reporting requirements likely 'going to be gone' from spending bill https://t.co/YMcPkNriB6"
2021-10-27 00:00:00+00:00,1453149445470760960,"Liberals talked a big game, lost big time

“Progressives promised for weeks they wouldn’t compromise on price tag or priorities in Democrats’ social spending bill…what once were red lines have repeatedly been crossed, pared back or cut all together”
 https://t.co/xwZR0c8sGE"
2021-10-26 23:32:44+00:00,1453142583878823943,Congratulations @CWHerbster on a huge endorsement from President Trump. #Nebraska https://t.co/bHZaw5CpBH
2021-10-26 21:57:44+00:00,1453118675154841602,"Blue State Blues continue; New Hampshire #poll:
📉56% disapprove of Biden, a state he won by over 7%.
📉68% say USA on wrong track; 21% ""right direction""
📉Senator Hassan down 14% among undeclared voters in a hypothetical matchup against Governor Sununu.

https://t.co/TsbVshvqVA"
2021-10-26 20:14:27+00:00,1453092681626832902,"No Country for Old Man: Biden's approval sinking, down 21 points among Independents since June. Breaking it down with @JesseBWatters #polls 
https://t.co/S5IT6BTtit #FoxNews"
2021-10-24 15:45:33+00:00,1452300234982297603,".@gtconway3d we were there. Newly engaged 
Great series, great memory 
#yankees https://t.co/7xfU8O0v6O"
2021-10-19 21:23:38+00:00,1450573377303945220,"How Low Can You Go, Joe? https://t.co/RznPInhrsX"
2021-10-19 21:16:53+00:00,1450571681442025484,"Grocery shelves are empty.  

Obnoxious and out of touch. https://t.co/VwRzCFiAfC"
2021-10-06 18:55:49+00:00,1445825138121977861,"#POLL: Americans Give Pres. Biden Lowest Marks Across The Board, Quinnipiac U National Poll Finds; Majority Say  Biden Administration Is Not Competent 

MORE from POLL: Biden does not care, is not honest, is not a leader.2/3 disapprove his job on border.
https://t.co/3LpVIo1jug"
2021-10-04 17:27:21+00:00,1445078100132384770,"Love, strength &amp; prayers to Casey DeSantis &amp; her family"
2021-09-30 21:35:16+00:00,1443690938652581891,They spend more time cleaning up @KamalaHarris unforced errors and crazy comments than she spends making them https://t.co/tIroU8ARiF
2021-09-29 17:17:20+00:00,1443263636122873856,"Excellent ad by @GlennYoungkin - and produced quickly after he beat @TerryMcAuliffe  in last night's debate.

We've got a race on our hands in #VAGov https://t.co/Ju8niBfpaD"
2021-09-29 16:27:21+00:00,1443251059217113105,"#POLL: Biden's job performance is underwater 
(more disapprove than approve) overall AND among men, women, Hispanics, Independents https://t.co/UsHWHKutRo"
2021-09-29 16:22:52+00:00,1443249933084147714,"#POLL: Biden's approval ratings on key issues continue to fall, new @ABCNews @Ipsos poll shows:
https://t.co/vYFawoXBFC via @nypost"
2021-09-29 15:38:19+00:00,1443238719096557571,Isn't this where Twitter says she's lying &amp; making the QAnon gesture? https://t.co/OcFa7ReDuV
2021-09-29 15:02:29+00:00,1443229703012339712,"How is this the fault of @TheView? 
Ask @LesterHoltNBC how terrible an interviewee she is, even with friendly media.  She should have been ""on set"" at the border, not in NYC repeating the same lies about border patrol agents.
https://t.co/V2IdJ6gwJn\"
2021-09-28 22:30:38+00:00,1442980096474812417,.@MarshaBlackburn and @HawleyMO forcing generals to admit under oath to spending tons of time leaking to book authors - while not under oath &amp; while Afghanistan was collapsing - is superb.
2021-09-27 21:21:18+00:00,1442600259276849155,"90% of what we were asked. 

Joe Biden annoyed with US press asking off-topic questions, Psaki says https://t.co/kFLaxofAfE"
