0,1,2
2021-10-27 03:03:26+00:00,1453195608039178243,"RT @MyoffdayYT: My uh, my Apex Pride/Suicide Awareness/BLM/Stop Asian Hate Badges are gone?"
2021-10-27 03:03:13+00:00,1453195552812765189,"RT @zerkj0: hey apex where did the pride / BLM, stop asian hate and suicide awareness badges go?? my friend just pointed out we're both mis…"
2021-10-27 03:03:10+00:00,1453195538472464391,"RT @Sinister__heart: Hey @PlayApex Where's my suicide awareness, BLM, LGBTQ, and Stop Asian hate badges?🤨"
2021-10-27 03:03:05+00:00,1453195520546009097,"@noimnothershey YEAH IM CONFUSED MY STOP ASIAN HATE, PRIDE, AND SUICIDE PREVENTION BADGES ARE GONE"
2021-10-27 03:01:58+00:00,1453195236197363713,"RT @NBCLA: Anti-Asian hate crimes increased more than 73 percent in 2020, according to newly corrected FBI data. It’s a disproportionate up…"
2021-10-27 03:01:57+00:00,1453195235966603274,"RT @Sinister__heart: Hey @PlayApex Where's my suicide awareness, BLM, LGBTQ, and Stop Asian hate badges?🤨"
2021-10-27 03:01:24+00:00,1453195096338354178,"RT @silenthumanhere: @Busbrain1 @ACorollaries hate to burst your bubble but turned out none of her allegations where true, she's been doing…"
2021-10-27 03:01:05+00:00,1453195017472954371,"Anti-Asian hate crimes increased more than 73 percent in 2020, according to newly corrected FBI data. It’s a dispro… https://t.co/kCT1UeYzCv"
2021-10-27 03:00:23+00:00,1453194837683945474,"RT @angryasianman: This woman attacked and yelled anti-Asian slurs at a teenage girl outside a market in Brooklyn. ""The incident is being i…"
2021-10-27 03:00:13+00:00,1453194795787030533,#stop asian hate #stopasianhate #StopAsianHateCrimes #StopAsianHate #StopAAPIHate #Bannon #DrLiMengYan1 #闫丽梦 #郭文贵… https://t.co/wPj7CGSKvG
2021-10-27 03:00:04+00:00,1453194761217589255,"Hey has anyone else lost their stop Asian hate, pride, and suicide prevention badge??? Cause I don’t have them anymore"
2021-10-27 02:58:50+00:00,1453194448951775232,"RT @Sinister__heart: Hey @PlayApex Where's my suicide awareness, BLM, LGBTQ, and Stop Asian hate badges?🤨"
2021-10-27 02:58:43+00:00,1453194420497567748,@MaxMand0m @R1Epix @WumboJet @SmeetheNation My ideology is roman columns and what looks like a blurry statue of hor… https://t.co/PCOgtlnomf
2021-10-27 02:58:39+00:00,1453194404466872322,"RT @Sinister__heart: Hey @PlayApex Where's my suicide awareness, BLM, LGBTQ, and Stop Asian hate badges?🤨"
2021-10-27 02:58:38+00:00,1453194397588152326,RT @zlj517: #FBI data show hate crimes against people of #Asian descent rose by 76% in the #US in 2020. The number is heart-wrenching. It e…
2021-10-27 02:58:36+00:00,1453194389946126336,RT @Mike_Feuer: This report confirms what we have already known; AAPI members of our community were targeted increasingly this past year. H…
2021-10-27 02:58:21+00:00,1453194328113696772,"@PlayApex I’m going to cry! My BLM , Stop Asian Hate and Pride badges are gone. I re started and re downloaded my game… 🙏🏻🙏🏻 please help me"
2021-10-27 02:58:18+00:00,1453194317019828227,"Hey @PlayApex Where's my suicide awareness, BLM, LGBTQ, and Stop Asian hate badges?🤨"
2021-10-27 02:58:11+00:00,1453194287059857412,"Wtf Apex Legends removed the Pride, BLM and Stop Asian Hate badges??"
2021-10-27 02:58:00+00:00,1453194237961400328,This report confirms what we have already known; AAPI members of our community were targeted increasingly this past… https://t.co/0s9PnKZNfh
